mins,peaks
406.13565,406.09027
406.6796,406.45303
407.49411,407.26804
408.26175,407.72003
409.29785,408.98282
409.56766,409.38782
410.19647,409.79236
410.95862,410.60016
411.40619,411.31674
411.76389,411.71918
412.47818,412.07657
413.013,412.92392
414.16904,413.1911
415.01151,414.47964
415.10007,415.05579
415.18863,415.14435
416.24942,415.4541
416.69049,416.47
416.77863,416.73456
417.13098,417.08694
417.57092,417.35104
417.65887,417.6149
417.83466,417.70282
417.92252,417.87857
418.09814,417.96643
418.40533,418.36145
418.88748,418.71222
419.67499,419.10641
419.76239,419.71869
420.15536,419.98077
420.72223,420.3299
420.80933,420.76578
420.89642,420.85291
421.24463,421.20111
421.89648,421.67935
422.20026,422.11349
423.36942,422.80701
423.58545,423.45584
423.974,423.71503
424.49136,424.01715
424.66364,424.57751
424.9649,424.92188
425.35181,425.1799
425.867,425.52365
426.33856,426.16718
427.06595,426.80942
427.57843,427.2796
428.13272,427.62112
428.686,428.43076
428.77106,428.72855
428.85608,428.81357
429.36569,429.06851
429.78976,429.53537
430.21326,430.1286
430.5939,430.38248
431.26947,430.88965
432.44824,431.98569
433.16174,432.70026
433.58069,433.28748
434.12442,433.8736
436.24832,435.04245
436.3313,436.28979
437.49069,436.82874
437.90369,437.53201
438.15118,438.02747
439.22137,438.4809
439.30353,439.26245
439.95999,439.63196
440.36954,440.16483
441.06442,440.61499
442.44925,441.63547
442.97699,442.69296
443.38229,443.09866
444.06998,443.66565
444.23154,444.19116
444.75598,444.47372
445.1185,445.03799
445.27948,445.23923
446.16315,445.64133
447.40363,446.96408
448.87695,448.24081
449.47205,448.91669
449.55127,449.51166
449.6701,449.63049
449.94714,449.70969
450.02625,449.98669
450.50043,450.26343
450.61884,450.53989
450.8555,450.65829
451.80011,451.40692
452.19272,451.91794
452.54559,452.38879
453.289,453.09357
454.06931,453.64041
454.30295,454.10825
454.41971,454.34186
454.69189,454.61417
455.1579,455.11911
456.24203,455.42935
456.31931,456.28067
456.62814,456.51236
457.16772,456.89807
457.55246,457.32169
457.89825,457.59091
458.09015,458.05179
458.20523,458.12851
458.58844,458.32025
458.89459,458.74155
459.50583,459.23859
460.57199,459.73465
461.63373,460.87579
462.27618,461.86066
462.65335,462.42712
462.80408,462.69104
462.87939,462.84174
463.25565,463.14282
464.68033,464.30621
465.98538,465.05389
466.83929,466.31989
467.24664,466.87634
468.20679,467.7641
468.94281,468.35416
473.1842,468.97955
474.54633,474.31937
475.00024,474.77328
476.13474,475.4541
477.26883,477.04205
477.9491,477.49561
478.4025,478.17581
479.08252,478.62918
479.53577,479.30914
480.66864,479.98898
481.57465,481.12167
482.93317,482.48038
483.61218,483.15952
484.96985,483.8385
